SOUTHERN,,,,Debris,,,,,,,,,,
REGION,Total,Arson,Campfire,Burning,Equip. Use,Ltng.,Misc.,Powerline,P-W-F,Rail-road,,Smoking,Undet.,Vehicle
Fresno,"$745,291",$900,$0,$0,"$18,500","$1,320","$8,001","$10,350",$0,$0,,"$4,000","$702,020",$200
Kings,"$3,600",$0,$0,$0,$0,$500,$0,"$3,100",$0,$0,,$0,$0,$0
Fresno-Kings,"$748,891",$900,$0,$0,"$18,500","$1,820","$8,001","$13,450",$0,$0,,"$4,000","$702,020",$200
Madera,"$9,060","$1,450",$0,$0,$500,$0,$0,$500,$0,$0,,$0,"$6,260",$350
Mariposa,"$80,202",$0,$0,$0,$2,$0,$0,"$80,200",$0,$0,,$0,$0,$0
Merced,"$4,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,"$4,000",$0
Madera-Mariposa,"$93,262","$1,450",$0,$0,$502,$0,$0,"$80,700",$0,$0,,$0,"$10,260",$350
Riverside,"$1,494,451",$0,$0,"$150,000","$650,250","$250,500","$320,000","$11,000",$0,$0,,"$2,001","$105,200","$5,500"
Riverside,"$1,494,451",$0,$0,"$150,000","$650,250","$250,500","$320,000","$11,000",$0,$0,,"$2,001","$105,200","$5,500"
Monterey,"$444,355","$7,600",$0,"$3,500","$421,836",$0,"$4,500","$2,402",$500,$0,,$0,$0,"$4,017"
San Benito,"$1,480","$1,000",$0,$0,$0,$0,$480,$0,$0,$0,,$0,$0,$0
San Benito-,,,,,,,,,,,,,,
Monterey,"$445,835","$8,600",$0,"$3,500","$421,836",$0,"$4,980","$2,402",$500,$0,,$0,$0,"$4,017"
Inyo,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,$0,$0
San Bernardino,"$33,300",$0,$0,$250,$0,$0,"$1,150","$25,500",$0,$0,,$0,"$6,200",$200
San,,,,,,,,,,,,,,
Bernardino,"$33,300",$0,$0,$250,$0,$0,"$1,150","$25,500",$0,$0,,$0,"$6,200",$200
San Diego,"$1,011,115",$0,$0,$0,$2,$2,"$100,000","$10,700",$0,$0,,$0,"$900,311",$100
San Diego,"$1,011,115",$0,$0,$0,$2,$2,"$100,000","$10,700",$0,$0,,$0,"$900,311",$100
San Luis Obispo,"$43,800",$0,$0,$0,"$6,500",$0,$150,"$22,000",$0,$0,,$0,$650,"$14,500"
San Luis,,,,,,,,,,,,,,
Obispo,"$43,800",$0,$0,$0,"$6,500",$0,$150,"$22,000",$0,$0,,$0,$650,"$14,500"
Tulare,"$8,906",$251,$0,$0,$275,$5,$100,"$1,050",$0,$0,,$0,"$7,225",$0
"",,,,,,,,,,,,,,
Tulare,"$8,906",$251,$0,$0,$275,$5,$100,"$1,050",$0,$0,,$0,"$7,225",$0
Calaveras,"$166,265","$10,177",$0,"$3,989","$101,861","$29,400","$5,571",$605,$277,$0,,$0,"$13,485",$900
E. San Joaquin,"$17,900","$2,200",$0,$200,"$14,700",$0,$0,$0,$0,$0,,$0,$800,$0
E. Stanislaus,"$3,875",$0,$0,$250,$600,$0,$600,$0,$0,$0,,$0,"$2,325",$100
Tuolumne,"$48,893",$0,$0,$900,$802,"$3,100",$0,"$1,701","$4,820",$0,,$0,"$37,370",$200
Tuolumne-,,,,,,,,,,,,,,
Calaveras,"$236,933","$12,377",$0,"$5,339","$117,963","$32,500","$6,171","$2,306","$5,097",$0,,$0,"$53,980","$1,200"
SOUTHERN,,,,,,,,,,,,,,
REGION TOTAL,"$4,116,493","$23,578",$0,"$159,089","$1,215,828","$284,827","$440,552","$169,108","$5,597",$0,,"$6,001","$1,785,846","$26,067"
STATE TOTAL,"$28,213,200","$288,679","$27,698","$349,804","$2,246,295","$15,284,927","$1,927,991","$3,621,940","$5,709",$0,,"$6,901","$3,234,157","$1,219,099"
