"",,A,B,C,D,E,F,G
SOUTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Fresno,"$1,017,700",$140,"$5,560","$1,012,000",$0,$0,$0,$0
Kings,$0,$0,$0,$0,$0,$0,$0,$0
Fresno-Kings,"$1,017,700",$140,"$5,560","$1,012,000",$0,$0,$0,$0
Madera,"$5,807,684",$452,"$5,400",$500,$0,"$5,801,332",$0,$0
Mariposa,"$30,000",$0,"$10,000",$0,"$20,000",$0,$0,$0
Merced,$0,$0,$0,$0,$0,$0,$0,$0
Madera-Mariposa,"$5,837,684",$452,"$15,400",$500,"$20,000","$5,801,332",$0,$0
Riverside,"$275,802",$0,"$271,802","$4,000",$0,$0,$0,$0
Riverside,"$275,802",$0,"$271,802","$4,000",$0,$0,$0,$0
Monterey,"$2,180","$2,180",$0,$0,$0,$0,$0,$0
San Benito,"$1,700",$500,"$1,200",$0,$0,$0,$0,$0
San Benito-Monterey,"$3,880","$2,680","$1,200",$0,$0,$0,$0,$0
Inyo,"$100,000","$100,000",$0,$0,$0,$0,$0,$0
San Bernardino,"$5,485",$485,"$5,000",$0,$0,$0,$0,$0
San Bernardino,"$105,485","$100,485","$5,000",$0,$0,$0,$0,$0
San Diego,"$666,154","$34,752","$31,402",$0,$0,"$600,000",$0,$0
San Diego,"$666,154","$34,752","$31,402",$0,$0,"$600,000",$0,$0
San Luis Obispo,"$4,190","$1,640","$2,550",$0,$0,$0,$0,$0
San Luis Obispo,"$4,190","$1,640","$2,550",$0,$0,$0,$0,$0
Tulare,"$243,754","$1,000","$150,000","$92,754",$0,$0,$0,$0
Tulare,"$243,754","$1,000","$150,000","$92,754",$0,$0,$0,$0
Calaveras,"$163,589","$13,772","$76,217","$42,800","$30,800",$0,$0,$0
E. San Joaquin,"$9,605",$5,$600,"$9,000",$0,$0,$0,$0
E. Stanislaus,"$10,586",$50,"$1,400","$9,136",$0,$0,$0,$0
Tuolumne,"$499,363","$3,064","$419,499","$23,000","$53,800",$0,$0,$0
Tuolumne-Calaveras,"$683,143","$16,891","$497,716","$83,936","$84,600",$0,$0,$0
SOUTHERN REGION,,,,,,,,
TOTAL,"$8,837,792","$158,040","$980,630","$1,193,190","$104,600","$6,401,332",$0,$0
STATE TOTAL,"$20,034,168","$1,483,275","$4,483,742","$1,773,215","$616,601","$9,587,328",$7,"$2,090,000"
