SOUTHERN REGION,Total,Arson,Campfire,Debris Burning,,Equip. Use,,Ltng.,Misc.,Powerline,P-W-F,Rail-road,,Smoking,Undet.,Vehicle
Fresno,574,34,1,3,,50,,13,50,88,0,0,,138,176,21
Kings,52,0,0,0,,,0,3,2,44,0,0,,0,3,0
Fresno-Kings,626,34,1,3,,50,,16,52,132,0,0,,138,179,21
Madera,188,15,0,5,,,7,0,8,49,0,0,,0,88,16
Mariposa,"1,750",0,6,16,,10,,0,4,"1,702",0,0,,0,8,4
Merced,456,0,0,0,,,0,3,1,434,0,0,,0,16,2
Madera-Mariposa,"2,394",15,6,21,,17,,3,13,"2,185",0,0,,0,112,22
Riverside,"6,256",54,2,16,,919,,"2,750",489,440,2,0,,7,"1,570",7
Riverside,"6,256",54,2,16,,919,,"2,750",489,440,2,0,,7,"1,570",7
Monterey,"2,817",15,2,11,,"2,649",,3,92,33,2,0,,0,4,6
San Benito,55,1,0,5,,,9,1,36,2,0,0,,0,1,0
San Benito-Monterey,"2,872",16,2,16,,"2,658",,4,128,35,2,0,,0,5,6
Inyo,21,1,5,3,,,0,0,3,0,0,0,,1,6,2
San Bernardino,"1,466",1,111,5,,,1,91,6,7,2,0,,3,"1,128",111
San Bernardino,"1,487",2,116,8,,,1,91,9,7,2,0,,4,"1,134",113
San Diego,"35,213",3,1,8,,23,,"24,851","1,055",18,0,0,,0,"9,211",43
San Diego,"35,213",3,1,8,,23,,"24,851","1,055",18,0,0,,0,"9,211",43
San Luis Obispo,"1,121",0,1,77,,644,,150,172,18,1,1,,1,25,31
San Luis Obispo,"1,121",0,1,77,,644,,150,172,18,1,1,,1,25,31
Tulare,187,27,0,0,,25,,0,6,6,0,0,,0,122,1
Tulare,187,27,0,0,,25,,0,6,6,0,0,,0,122,1
Calaveras,569,20,0,36,,174,,204,21,4,3,0,,0,97,10
E. San Joaquin,87,11,0,1,,71,,0,0,0,0,0,,0,4,0
E. Stanislaus,45,1,0,18,,,6,0,6,0,0,0,,0,14,0
Tuolumne,"1,174",1,1,11,,126,,10,0,11,26,0,,1,985,2
Tuolumne-Calaveras,"1,875",33,1,66,,377,,214,27,15,29,0,,1,"1,100",12
SOUTHERN REGION,,,,,,,,,,,,,,,,
TOTAL,"52,031",184,130,215,,"4,714",,"28,079","1,951","2,856",36,1,,151,"13,458",256
STATE TOTAL,"128,956","5,060","4,886","1,229",,"6,014",,"56,024","3,002","4,966",156,2,,175,"46,196","1,246"
