SOUTHERN REGION,,Total,Brush,,Grass,,Timber,,Woodland,,Other
Fresno,,"1,318",11,,734,,3,,,16,554
Kings,,48,0,,0,,0,,,0,48
"",Fresno-Kings,"1,366",11,,734,,3,,,16,602
Madera,,702,26,,667,,3,,,4,2
Mariposa,,112,36,,66,,0,,,1,9
Merced,,"1,397",40,,"1,351",,0,,,0,6
"",Madera-Mariposa,"2,211",102,,"2,084",,3,,,5,17
Riverside,,"2,318",217,,"1,767",,4,,,0,330
"",Riverside,"2,318",217,,"1,767",,4,,,0,330
Monterey,,"1,801",883,,916,,1,,,0,1
San Benito,,119,1,,114,,0,,,0,4
San Benito-Monterey,,"1,920",884,,"1,030",,1,,,0,5
Inyo,,"6,551","6,545",,5,,1,,,0,0
San Bernardino,,"1,992",63,,503,,0,,,0,"1,426"
"",San Bernardino,"8,543","6,608",,508,,1,,,0,"1,426"
San Diego,,"17,439","16,883",,461,,2,,,0,93
"",San Diego,"17,439","16,883",,461,,2,,,0,93
San Luis Obispo,,"2,391",6,,"2,366",,2,,,0,17
"",San Luis Obispo,"2,391",6,,"2,366",,2,,,0,17
Tulare,,"3,454",31,,"3,393",,0,,,0,30
"",Tulare,"3,454",31,,"3,393",,0,,,0,30
Calaveras,,"1,146",153,,216,,761,,,1,15
E. San Joaquin,,26,0,,26,,0,,,0,0
E. Stanislaus,,"2,158",1,,"2,073",,0,,,0,84
Tuolumne,,335,9,,171,,20,,,1,134
Tuolumne-Calaveras,,"3,665",163,,"2,486",,781,,,2,233
SOUTHERN REGION TOTAL,,"43,307","24,905",,"14,829",,797,,,23,"2,753"
STATE TOTAL,,"51,889","25,033",,"20,072",,"1,168",,,124,"5,492"
